R_scenario,experiment,flags,forecast_mode,forecast_origin,horizon,source,status,target_timestamp
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T08:44:00+00:00,6h,,valid,2024-06-10T14:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T09:44:00+00:00,1h,,valid,2024-06-10T10:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T09:44:00+00:00,3h,,valid,2024-06-10T12:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T09:44:00+00:00,6h,,valid,2024-06-10T15:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T10:44:00+00:00,1h,,valid,2024-06-10T11:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T10:44:00+00:00,3h,,valid,2024-06-10T13:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T10:44:00+00:00,6h,,valid,2024-06-10T16:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T11:44:00+00:00,1h,,valid,2024-06-10T12:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T11:44:00+00:00,3h,,valid,2024-06-10T14:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T11:44:00+00:00,6h,,valid,2024-06-10T17:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T12:44:00+00:00,1h,,valid,2024-06-10T13:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T12:44:00+00:00,3h,,valid,2024-06-10T15:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T12:44:00+00:00,6h,,valid,2024-06-10T18:44:00+00:00
R_low,Experiment A,PROVISIONAL_EVENT_BOUNDARY,F1_no_future_event_knowledge,2024-06-10T13:44:00+00:00,1h,,valid,2024-06-10T14:44:00+00:00
