inspection_period,phase_start,phase_end,concentration_level_distribution,dynamic_state_distribution,episode_type,start_radon,end_radon,min_radon,max_radon,robust_slope,local_variability,confidence,reason_codes
2024-06-07 to 2024-06-14,2024-06-13T10:44:00+00:00,2024-06-13T12:44:00+00:00,"{""HIGH"": {""count"": 3, ""percent"": 100.0}}","{""STABLE"": {""count"": 3, ""percent"": 100.0}}",STABLE_HIGH,225.0,190.0,190.0,225.0,-17.5,9.0,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""PERSISTENCE_ADJUSTED_STATE""]"
2024-06-07 to 2024-06-14,2024-06-13T13:44:00+00:00,2024-06-13T13:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,225.0,225.0,225.0,225.0,N/A,4.0,MEDIUM,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SLOPE_BELOW_TREND_THRESHOLD"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-13T14:44:00+00:00,2024-06-13T14:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_ELEVATED,185.0,185.0,185.0,185.0,N/A,4.0,HIGH,"[""LONG_STABLE_DURATION"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE""]"
2024-06-07 to 2024-06-14,2024-06-13T15:44:00+00:00,2024-06-13T15:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""FALLING"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,212.0,212.0,212.0,212.0,N/A,9.0,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_DISAGREEMENT"", ""SLOPE_NEAR_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-13T16:44:00+00:00,2024-06-13T16:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 1, ""percent"": 100.0}}",UNSTABLE_TRANSITION,203.0,203.0,203.0,203.0,N/A,13.0,HIGH,"[""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
2024-06-07 to 2024-06-14,2024-06-13T17:44:00+00:00,2024-06-13T21:44:00+00:00,"{""HIGH"": {""count"": 1, ""percent"": 100.0}}","{""STABLE"": {""count"": 1, ""percent"": 100.0}}",STABLE_HIGH,194.0,223.0,190.0,228.0,N/A,13.0,MEDIUM,"[""LOW_LOCAL_VARIABILITY"", ""PERSISTENCE_ADJUSTED_STATE"", ""RAW_SMOOTHED_DISAGREEMENT"", ""REPEATED_SIGN_CHANGES"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-13T22:44:00+00:00,2024-06-13T23:44:00+00:00,"{""ELEVATED"": {""count"": 1, ""percent"": 50.0}, ""LOW"": {""count"": 1, ""percent"": 50.0}}","{""SUDDEN_DROP"": {""count"": 2, ""percent"": 100.0}}",SUDDEN_DROP_EVENT,143.0,35.0,35.0,143.0,-108.0,18.0,HIGH,"[""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""STRONG_PERSISTENT_TREND"", ""SUDDEN_NEGATIVE_CHANGE"", ""SUFFICIENT_WINDOW"", ""LOW_LOCAL_VARIABILITY""]"
2024-06-07 to 2024-06-14,2024-06-14T00:44:00+00:00,2024-06-14T01:44:00+00:00,"{""LOW"": {""count"": 2, ""percent"": 100.0}}","{""UNSTABLE_TRANSITION"": {""count"": 2, ""percent"": 100.0}}",UNSTABLE_TRANSITION,30.0,11.0,11.0,30.0,-19.0,61.5,HIGH,"[""EXPLICIT_INSTABILITY_EVIDENCE"", ""HIGH_LOCAL_VARIABILITY"", ""REPEATED_SIGN_CHANGES"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SUFFICIENT_WINDOW""]"
2024-06-07 to 2024-06-14,2024-06-14T02:44:00+00:00,2024-06-14T04:44:00+00:00,"{""LOW"": {""count"": 3, ""percent"": 100.0}}","{""FALLING"": {""count"": 3, ""percent"": 100.0}}",DECLINE,7.0,19.0,2.0,19.0,6.0,21.0,MEDIUM,"[""SUFFICIENT_WINDOW"", ""HIGH_LOCAL_VARIABILITY"", ""SHORT_MEDIUM_SLOPE_AGREEMENT"", ""SHORT_SLOPE_NEGATIVE"", ""AMBIGUOUS_BUT_LOW_INSTABILITY""]"
2024-06-07 to 2024-06-14,2024-06-14T05:44:00+00:00,2024-06-16T11:44:00+00:00,"{""LOW"": {""count"": 55, ""percent"": 100.0}}","{""STABLE"": {""count"": 55, ""percent"": 100.0}}",STABLE_LOW,11.0,44.0,2.0,44.0,0.611,3.636,HIGH,"[""LOW_LOCAL_VARIABILITY"", ""SUFFICIENT_WINDOW"", ""LONG_STABLE_DURATION"", ""AMBIGUOUS_BUT_LOW_INSTABILITY"", ""SLOPE_BELOW_TREND_THRESHOLD""]"
