record_no,datetime,radon_bq_m3
262,2024-05-28 01:47:00,245
263,2024-05-28 02:47:00,269
264,2024-05-28 03:47:00,284
265,2024-05-28 04:47:00,238
266,2024-05-28 05:47:00,232
267,2024-05-28 06:47:00,251
268,2024-05-28 07:47:00,268
269,2024-05-28 08:47:00,260
270,2024-05-28 09:47:00,238
271,2024-05-28 10:47:00,271
272,2024-05-28 11:47:00,216
273,2024-05-28 12:47:00,230
274,2024-05-28 13:47:00,247
275,2024-05-28 14:47:00,232
276,2024-05-28 15:47:00,273
277,2024-05-28 16:47:00,225
278,2024-05-28 17:47:00,205
279,2024-05-28 18:47:00,227
280,2024-05-28 19:47:00,255
281,2024-05-28 20:47:00,221
282,2024-05-28 21:47:00,221
283,2024-05-28 22:47:00,225
284,2024-05-28 23:47:00,228
285,2024-05-29 00:47:00,216
286,2024-05-29 01:47:00,218
287,2024-05-29 02:47:00,218
288,2024-05-29 03:47:00,238
289,2024-05-29 04:47:00,225
290,2024-05-29 05:47:00,210
291,2024-05-29 06:47:00,251
292,2024-05-29 07:47:00,212
293,2024-05-29 08:47:00,245
294,2024-05-29 09:47:00,260
295,2024-05-29 10:47:00,210
296,2024-05-29 11:47:00,227
297,2024-05-29 12:47:00,253
298,2024-05-29 13:47:00,258
299,2024-05-29 14:47:00,251
300,2024-05-29 15:47:00,207
301,2024-05-29 16:47:00,183
302,2024-05-29 17:47:00,168
303,2024-05-29 18:47:00,197
304,2024-05-29 19:47:00,183
305,2024-05-29 20:47:00,212
306,2024-05-29 21:47:00,238
307,2024-05-29 22:47:00,228
308,2024-05-29 23:47:00,46
309,2024-05-30 00:47:00,21
310,2024-05-30 01:47:00,33
311,2024-05-30 02:47:00,21
312,2024-05-30 03:47:00,18
313,2024-05-30 04:47:00,25
314,2024-05-30 05:47:00,14
315,2024-05-30 06:47:00,14
316,2024-05-30 07:47:00,16
317,2024-05-30 08:47:00,19
318,2024-05-30 09:47:00,14
319,2024-05-30 10:47:00,28
320,2024-05-30 11:47:00,28
321,2024-05-30 12:47:00,30
322,2024-05-30 13:47:00,16
323,2024-05-30 14:47:00,19
324,2024-05-30 15:47:00,19
325,2024-05-30 16:47:00,18
326,2024-05-30 17:47:00,19
327,2024-05-30 18:47:00,11
328,2024-05-30 19:47:00,21
329,2024-05-30 20:47:00,9
330,2024-05-30 21:47:00,7
331,2024-05-30 22:47:00,11
332,2024-05-30 23:47:00,14
333,2024-05-31 00:47:00,5
334,2024-05-31 01:47:00,9
335,2024-05-31 02:47:00,9
336,2024-05-31 03:47:00,11
337,2024-05-31 04:47:00,2
338,2024-05-31 05:47:00,2
339,2024-05-31 06:47:00,2
340,2024-05-31 07:47:00,11
341,2024-05-31 08:47:00,7
342,2024-05-31 09:47:00,11
343,2024-05-31 10:47:00,11
344,2024-05-31 11:47:00,16
345,2024-05-31 12:47:00,19
346,2024-05-31 13:47:00,9
347,2024-05-31 14:47:00,11
348,2024-05-31 15:47:00,19
349,2024-05-31 16:47:00,9
350,2024-05-31 17:47:00,16
351,2024-05-31 18:47:00,9
352,2024-05-31 19:47:00,5
353,2024-05-31 20:47:00,9
354,2024-05-31 21:47:00,11
355,2024-05-31 22:47:00,11
356,2024-05-31 23:47:00,9
357,2024-06-01 00:47:00,11
358,2024-06-01 01:47:00,9
359,2024-06-01 02:47:00,11
360,2024-06-01 03:47:00,5
361,2024-06-01 04:47:00,16
362,2024-06-01 05:47:00,11
363,2024-06-01 06:47:00,11
364,2024-06-01 07:47:00,5
365,2024-06-01 08:47:00,7
366,2024-06-01 09:47:00,11
367,2024-06-01 10:47:00,2
368,2024-06-01 11:47:00,11
369,2024-06-01 12:45:00,16
370,2024-06-01 12:47:00,11
371,2024-06-01 13:45:00,18
372,2024-06-01 14:45:00,14
373,2024-06-01 15:45:00,18
374,2024-06-01 16:45:00,11
375,2024-06-01 17:45:00,9
376,2024-06-01 18:45:00,7
377,2024-06-01 19:45:00,9
378,2024-06-01 20:45:00,2
379,2024-06-01 21:45:00,9
380,2024-06-01 22:45:00,11
381,2024-06-01 23:45:00,9
382,2024-06-02 00:45:00,26
383,2024-06-02 01:45:00,18
384,2024-06-02 02:45:00,7
385,2024-06-02 03:45:00,16
386,2024-06-02 04:45:00,19
387,2024-06-02 05:45:00,18
388,2024-06-02 06:45:00,11
389,2024-06-02 07:45:00,18
390,2024-06-02 08:45:00,11
391,2024-06-02 09:45:00,16
392,2024-06-02 10:45:00,25
393,2024-06-02 11:45:00,25
394,2024-06-02 12:45:00,30
395,2024-06-02 13:45:00,19
396,2024-06-02 14:45:00,18
397,2024-06-02 15:45:00,11
398,2024-06-02 16:45:00,14
399,2024-06-02 17:45:00,14
400,2024-06-02 18:45:00,11
401,2024-06-02 19:45:00,26
402,2024-06-02 20:45:00,25
403,2024-06-02 21:45:00,11
404,2024-06-02 22:45:00,14
405,2024-06-02 23:45:00,16
406,2024-06-03 00:45:00,2
407,2024-06-03 01:45:00,5
408,2024-06-03 02:45:00,14
409,2024-06-03 03:45:00,16
410,2024-06-03 04:45:00,19
411,2024-06-03 05:45:00,9
412,2024-06-03 06:45:00,30
413,2024-06-03 07:45:00,33
414,2024-06-03 08:45:00,19
415,2024-06-03 09:45:00,26
416,2024-06-03 10:45:00,32
417,2024-06-03 11:45:00,18
418,2024-06-03 12:45:00,16
419,2024-06-03 13:45:00,9
420,2024-06-03 14:45:00,18
421,2024-06-03 15:45:00,19
422,2024-06-03 16:45:00,28
423,2024-06-03 17:45:00,32
424,2024-06-03 18:45:00,32
425,2024-06-03 19:45:00,44
426,2024-06-03 20:45:00,14
427,2024-06-03 21:45:00,7
428,2024-06-03 22:45:00,11
429,2024-06-03 23:45:00,0
430,2024-06-04 00:45:00,5
431,2024-06-04 01:45:00,14
432,2024-06-04 02:45:00,21
433,2024-06-04 03:45:00,21
434,2024-06-04 04:45:00,9
435,2024-06-04 05:45:00,11
436,2024-06-04 06:45:00,11
437,2024-06-04 07:45:00,19
438,2024-06-04 08:45:00,14
439,2024-06-04 09:45:00,23
440,2024-06-04 10:45:00,23
441,2024-06-04 11:45:00,21
442,2024-06-04 12:45:00,26
443,2024-06-04 13:45:00,26
444,2024-06-04 14:45:00,25
445,2024-06-04 15:45:00,19
446,2024-06-04 16:45:00,30
447,2024-06-04 17:45:00,14
448,2024-06-04 18:45:00,42
449,2024-06-04 19:45:00,23
450,2024-06-04 20:45:00,11
451,2024-06-04 21:45:00,7
452,2024-06-04 22:45:00,16
453,2024-06-04 23:45:00,14
454,2024-06-05 00:45:00,19
455,2024-06-05 01:45:00,11
456,2024-06-05 02:45:00,2
457,2024-06-05 03:45:00,11
458,2024-06-05 04:45:00,11
459,2024-06-05 05:45:00,19
460,2024-06-05 06:45:00,11
461,2024-06-05 07:45:00,14
462,2024-06-05 08:45:00,32
463,2024-06-05 09:45:00,16
464,2024-06-05 10:45:00,14
465,2024-06-05 11:45:00,14
466,2024-06-05 13:44:00,5
467,2024-06-05 14:44:00,7
468,2024-06-05 15:44:00,14
469,2024-06-05 16:44:00,11
470,2024-06-05 17:44:00,16
471,2024-06-05 18:44:00,11
472,2024-06-05 19:44:00,18
473,2024-06-05 20:44:00,11
474,2024-06-05 21:44:00,11
475,2024-06-05 22:44:00,7
476,2024-06-05 23:44:00,19
477,2024-06-06 00:44:00,5
478,2024-06-06 01:44:00,14
479,2024-06-06 02:44:00,16
480,2024-06-06 03:44:00,33
481,2024-06-06 04:44:00,37
482,2024-06-06 05:44:00,23
483,2024-06-06 06:44:00,18
484,2024-06-06 07:44:00,18
485,2024-06-06 08:44:00,21
486,2024-06-06 09:44:00,35
487,2024-06-06 10:44:00,35
488,2024-06-06 11:44:00,25
489,2024-06-06 12:44:00,9
490,2024-06-06 13:44:00,16
491,2024-06-06 14:44:00,9
